"GeneID"	"Unannotated"	"CP-like"	"Cilia-like"	"IPC-like"	"Neurons"	"NPC-like"	"Microglia"	"Mesenchymal-like"	"Hypoxic"	"Astrocytes"	"Pericytes"	"OPC-like"	"Endothelial"	"OPC"	"RG-like"
"OR4F29"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR4F16"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SAMD11"	134	32	5	21	1	15	1	1	0	4	31	3	1	0	0
"NOC2L"	296	226	50	42	26	110	23	4	12	3	8	10	10	0	1
"KLHL17"	54	81	17	12	29	21	4	1	2	2	5	3	1	0	1
"PLEKHN1"	12	6	1	3	0	1	0	1	0	0	0	1	0	0	0
"PERM1"	1	3	2	0	0	1	1	0	0	0	0	0	0	0	0
"HES4"	1605	401	28	110	27	790	32	21	27	56	59	61	30	2	6
"AGRN"	130	59	7	14	32	48	6	1	4	3	23	4	10	0	0
"RNF223"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"C1orf159"	358	366	127	94	70	80	18	11	10	14	24	15	9	0	0
"TTLL10"	2	4	18	0	0	0	0	0	0	0	0	0	0	0	0
"TNFRSF18"	2	4	0	0	4	0	4	0	1	0	0	0	1	0	0
"TNFRSF4"	3	0	1	1	0	0	5	0	1	0	0	0	4	0	0
"SDF4"	254	255	49	31	51	91	32	8	17	10	9	17	14	0	0
"B3GALT6"	47	38	4	8	9	13	7	0	3	1	4	2	0	0	0
"C1QTNF12"	23	18	1	2	0	3	0	0	0	0	2	0	0	0	0
"UBE2J2"	310	312	54	45	29	136	28	13	6	14	8	11	12	0	2
"SCNN1D"	77	60	9	8	12	8	2	0	0	3	0	3	0	1	0
"ACAP3"	188	120	17	27	163	106	23	5	1	21	15	9	9	2	0
"PUSL1"	15	7	2	3	2	5	2	1	0	0	1	0	2	0	0
"INTS11"	270	250	48	34	38	134	22	7	8	7	13	6	8	2	1
"CPTP"	13	18	1	2	2	6	1	0	0	0	0	1	1	0	0
"TAS1R3"	2	1	0	0	1	0	1	0	0	0	0	0	1	0	0
"DVL1"	105	79	15	9	27	30	8	2	4	6	7	4	4	0	0
"MXRA8"	9	12	2	4	1	0	0	0	3	4	36	1	1	0	0
"AURKAIP1"	101	113	18	19	8	58	15	3	12	2	2	7	4	0	0
"CCNL2"	1801	1730	335	208	155	440	125	55	43	42	103	86	95	2	11
"MRPL20"	257	230	45	27	19	83	26	9	10	7	12	7	28	0	1
"ANKRD65"	2	7	1	0	0	1	0	0	0	2	1	0	0	0	0
"TMEM88B"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"VWA1"	32	23	2	3	1	5	4	0	2	0	4	2	40	0	0
"ATAD3C"	20	26	4	2	2	7	2	0	2	0	2	3	22	0	0
"ATAD3B"	194	202	34	31	29	28	16	13	7	11	8	9	15	0	0
"ATAD3A"	109	115	18	26	13	25	9	5	4	3	6	4	9	0	1
"TMEM240"	35	50	13	8	10	23	3	1	0	3	0	1	0	0	0
"SSU72"	279	249	61	36	30	106	27	8	12	7	15	14	14	1	4
"FNDC10"	9	19	4	1	3	1	2	1	0	0	0	0	0	0	0
"MIB2"	163	189	61	32	37	40	10	3	7	8	11	4	12	0	0
"MMP23B"	18	4	0	1	4	2	0	1	2	1	1	0	0	0	0
"CDK11B"	367	348	72	50	23	99	40	3	15	10	15	10	25	0	0
"CDK11A"	363	375	68	47	28	120	50	8	16	11	15	14	16	0	1
"NADK"	256	233	41	31	26	64	39	4	12	9	19	13	8	0	2
"GNB1"	2603	2967	429	462	264	1222	279	74	94	71	117	89	193	5	10
"CALML6"	5	5	2	0	0	0	1	0	0	0	0	0	0	0	0
"TMEM52"	7	24	39	1	0	8	0	0	0	0	0	0	1	0	0
"CFAP74"	61	419	435	20	19	11	2	0	3	2	1	6	4	0	0
"GABRD"	23	38	6	1	5	4	1	0	1	0	1	1	2	0	0
"PRKCZ"	323	545	114	53	100	83	16	12	4	5	5	5	4	0	2
"FAAP20"	248	326	61	32	9	82	20	8	11	9	13	18	6	1	2
"SKI"	869	854	140	134	111	173	151	36	28	34	67	22	90	1	11
"MORN1"	228	259	124	40	24	45	10	5	1	9	8	5	3	1	1
"RER1"	372	290	55	55	27	102	44	7	12	15	19	19	18	0	1
"PEX10"	143	81	14	17	9	58	15	4	3	4	1	4	0	0	0
"PLCH2"	3	2	1	1	22	2	1	1	0	1	0	1	0	1	0
"PANK4"	90	82	13	14	4	28	1	3	3	0	0	1	5	0	1
"HES5"	115	5	0	2	0	35	2	0	0	16	0	5	3	0	0
"TNFRSF14"	84	19	3	7	1	5	62	3	5	5	2	6	20	0	0
"PRXL2B"	19	15	2	0	4	8	5	1	0	1	1	2	4	0	0
"MMEL1"	3	4	7	0	2	1	0	1	0	0	1	0	0	0	0
"TTC34"	40	51	65	5	1	2	6	1	0	1	1	0	1	0	1
"ACTRT2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRDM16"	2806	4834	1101	532	23	111	87	21	51	102	44	84	22	2	33
"ARHGEF16"	5	39	11	1	1	1	0	0	2	0	0	0	0	0	0
"MEGF6"	150	60	9	17	5	12	12	6	4	1	2	4	1	0	0
"TPRG1L"	22	22	6	2	5	14	2	2	2	0	2	1	2	0	0
"WRAP73"	128	145	33	19	16	42	25	3	6	5	12	4	10	0	1
"TP73"	9	10	32	0	0	1	3	0	0	1	0	0	0	0	0
"CCDC27"	10	2	0	1	0	1	1	1	0	0	0	0	0	0	0
"SMIM1"	13	14	4	1	0	3	1	1	0	0	0	0	0	0	0
"LRRC47"	148	113	23	23	21	39	12	3	7	4	7	6	4	1	0
"CEP104"	459	513	133	66	70	163	39	4	11	35	11	15	29	1	2
"DFFB"	83	107	16	7	14	54	7	2	2	2	4	4	12	0	2
"C1orf174"	77	57	4	15	5	32	8	3	5	0	3	6	6	0	0
"AJAP1"	53	229	13	6	128	10	4	3	4	5	6	3	25	0	0
"NPHP4"	304	273	166	62	96	126	33	12	6	20	16	12	16	0	3
"KCNAB2"	114	66	16	23	96	50	140	7	3	3	5	11	7	0	2
"CHD5"	248	45	3	26	410	63	5	3	4	8	2	1	2	0	1
"RPL22"	899	725	104	102	40	449	47	60	67	11	28	24	11	1	3
"RNF207"	110	41	4	7	36	8	4	3	1	4	11	4	0	0	2
"ICMT"	73	47	13	7	5	15	11	6	1	0	8	8	4	1	0
"HES3"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"GPR153"	23	8	0	8	18	4	5	0	0	0	0	0	1	0	0
"ACOT7"	493	240	30	59	98	88	20	10	10	21	10	22	14	2	3
"HES2"	4	2	2	1	1	2	0	0	0	0	0	0	1	0	0
"ESPN"	8	8	1	0	2	0	0	0	0	0	1	0	0	0	0
"TNFRSF25"	305	779	199	46	65	35	13	8	16	3	5	11	20	0	0
"PLEKHG5"	218	568	130	31	44	32	12	4	6	5	5	7	17	0	2
"NOL9"	368	291	80	58	53	96	30	9	7	15	16	25	21	0	1
"TAS1R1"	15	10	5	0	0	2	0	0	4	0	0	1	0	0	0
"ZBTB48"	158	146	19	14	29	31	19	2	4	11	9	11	5	0	0
"KLHL21"	218	254	70	25	19	43	9	4	13	12	17	9	4	0	0
"PHF13"	114	159	35	19	4	42	5	7	5	6	8	3	3	0	1
"THAP3"	156	99	17	23	11	70	12	1	5	3	4	6	2	0	2
"DNAJC11"	476	577	106	84	70	127	53	17	12	12	26	19	27	3	1
"CAMTA1"	3759	4058	515	484	983	2689	190	61	96	285	147	110	230	9	26
"VAMP3"	156	108	21	17	22	45	21	1	8	8	9	5	8	0	0
"PER3"	829	1272	150	197	103	231	75	12	25	58	28	16	18	5	9
"UTS2"	3	4	0	0	0	0	1	0	0	0	0	0	0	0	0
"TNFRSF9"	7	1	0	1	0	1	12	0	0	0	0	0	2	0	0
"PARK7"	386	278	68	50	29	155	36	8	15	6	15	14	8	0	1
"ERRFI1"	459	381	52	70	19	90	37	33	68	3	18	17	9	0	0
"SLC45A1"	60	58	10	4	23	20	4	0	1	5	1	4	1	0	0
"RERE"	11258	15040	3094	1783	934	7248	695	196	263	231	307	411	514	30	47
"ENO1"	1043	1213	242	156	43	264	112	28	97	40	37	48	15	2	9
"CA6"	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"SLC2A7"	7	5	0	1	1	1	0	1	0	0	0	0	0	0	0
"SLC2A5"	18	17	4	3	3	3	63	0	2	0	1	1	0	0	0
"GPR157"	172	92	5	23	1	25	7	4	8	2	3	2	1	0	2
"H6PD"	324	267	42	41	25	87	22	9	7	13	17	19	24	0	0
"SPSB1"	141	71	13	25	2	14	27	6	6	21	25	7	87	0	0
"SLC25A33"	548	497	140	84	30	135	44	7	39	49	7	16	10	0	6
"TMEM201"	58	31	10	15	3	12	7	0	2	1	4	4	0	0	0
"PIK3CD"	103	138	22	12	27	46	109	2	3	8	17	5	4	0	0
"CLSTN1"	1259	3134	593	234	159	596	68	21	56	36	29	51	47	1	6
"CTNNBIP1"	813	548	95	97	28	107	51	19	14	8	22	46	20	1	1
"LZIC"	173	147	33	20	20	73	13	5	2	3	5	10	7	1	2
"NMNAT1"	168	174	37	17	22	23	17	7	5	10	7	8	8	0	1
"RBP7"	66	51	8	12	0	1	0	6	3	1	1	1	3	0	0
"UBE4B"	3355	2956	562	473	176	1613	179	51	50	93	77	104	89	9	21
"KIF1B"	8984	6119	1075	888	876	4534	395	67	154	460	99	399	154	16	115
"PGD"	366	793	154	49	37	98	46	4	19	11	4	6	10	0	1
"CENPS"	100	78	37	17	22	20	6	1	1	4	1	3	1	0	0
"CORT"	11	5	2	0	3	4	1	0	0	0	0	0	0	0	0
"DFFA"	318	346	49	34	25	113	19	7	12	10	12	11	13	0	0
"PEX14"	841	1177	220	138	66	321	94	25	20	34	42	23	51	2	2
"CASZ1"	277	103	49	23	11	128	2	4	2	5	2	13	0	0	1
"C1orf127"	6	1	0	0	0	0	2	0	0	0	0	1	0	0	0
"TARDBP"	652	570	104	98	57	263	52	11	15	28	23	25	19	2	7
"MASP2"	10	7	0	0	1	2	0	0	0	0	0	1	0	0	0
"SRM"	255	136	17	19	25	90	20	2	5	5	6	18	8	2	2
"EXOSC10"	613	598	133	105	85	256	58	20	10	43	23	18	21	1	3
"MTOR"	659	793	146	129	118	228	80	16	11	23	28	31	71	4	1
"ANGPTL7"	6	22	2	0	2	2	2	0	0	0	0	1	0	0	0
"UBIAD1"	92	57	7	9	8	37	11	1	3	6	4	2	5	0	1
"DISP3"	181	12	4	13	56	80	3	0	1	19	0	2	0	0	4
"FBXO2"	86	86	14	3	13	20	6	6	5	3	0	1	1	0	0
"FBXO44"	216	247	41	29	37	89	7	3	15	8	1	6	1	1	1
"FBXO6"	62	42	6	7	5	14	8	0	2	3	2	5	2	0	0
"MAD2L2"	41	32	4	12	4	49	4	6	6	3	0	3	2	0	0
"DRAXIN"	59	18	1	10	5	65	2	2	4	2	0	4	0	0	2
"AGTRAP"	82	102	37	11	0	15	12	2	2	5	1	2	6	0	1
"C1orf167"	2	7	5	1	0	2	0	1	1	1	0	0	0	0	0
"MTHFR"	258	269	64	26	43	60	58	13	13	4	19	11	21	0	1
"CLCN6"	641	607	105	71	59	274	50	15	13	19	16	21	23	1	2
"NPPA"	13	8	4	1	0	2	1	0	0	0	0	0	0	0	0
"NPPB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KIAA2013"	103	84	22	18	10	30	11	3	10	3	8	7	10	0	0
"PLOD1"	195	118	26	23	14	16	26	9	7	0	28	11	17	0	0
"MFN2"	205	256	37	34	32	65	28	5	7	8	9	7	9	0	2
"MIIP"	95	78	20	16	9	27	15	2	1	6	2	1	2	0	0
"TNFRSF8"	12	6	0	1	4	2	5	0	0	0	1	5	1	0	0
"TNFRSF1B"	63	18	5	4	2	12	192	2	1	0	8	8	40	0	3
"VPS13D"	1743	1779	359	246	275	588	217	34	20	96	114	43	133	4	9
"DHRS3"	287	81	13	43	9	19	49	22	4	21	61	10	25	0	5
"AADACL4"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"AADACL3"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRAMEF12"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRAMEF1"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HNRNPCL1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRAMEF2"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRAMEF4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRAMEF10"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRAMEF7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRAMEF6"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRAMEF27"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
