hgnc_symbol	entrezgene_id	ensembl_gene_id	uniprotswissprot
A1BG	1	ENSG00000121410	P04217
A1BG-AS1	503538	ENSG00000268895	NA
A1CF	29974	ENSG00000148584	Q9NQ94
A2M	2	ENSG00000175899	P01023
A2M-AS1	144571	ENSG00000245105	NA
A2ML1	144568	ENSG00000166535	A8K2U0
A2ML1-AS1	NA	ENSG00000256661	NA
A2ML1-AS2	NA	ENSG00000256904	NA
A2MP1	NA	ENSG00000256069	NA
A3GALT2	127550	ENSG00000184389	U3KPV4
A4GALT	53947	ENSG00000128274	Q9NPC4
A4GNT	51146	ENSG00000118017	Q9UNA3
AAAS	8086	ENSG00000094914	Q9NRG9
AAAS	8086	ENSG00000291836	Q9NRG9
AACS	65985	ENSG00000081760	Q86V21
AACSP1	729522	ENSG00000291019	NA
AACSP1	NA	ENSG00000250420	NA
AADAC	13	ENSG00000114771	P22760
AADACL2	344752	ENSG00000197953	Q6P093
AADACL2	344752	ENSG00000261846	Q6P093
AADACL2-AS1	NA	ENSG00000242908	NA
AADACL2-AS1	NA	ENSG00000262466	NA
AADACL3	126767	ENSG00000188984	Q5VUY0
AADACL4	343066	ENSG00000204518	Q5VUY2
AADACP1	NA	ENSG00000240602	NA
AADAT	51166	ENSG00000109576	Q8N5Z0
AAGAB	79719	ENSG00000103591	Q6PD74
AAK1	22848	ENSG00000115977	Q2M2I8
AAMDC	28971	ENSG00000087884	Q9H7C9
AAMP	14	ENSG00000127837	Q13685
AANAT	15	ENSG00000129673	Q16613
AAR2	25980	ENSG00000131043	Q9Y312
AARD	441376	ENSG00000205002	Q4LEZ3
AARS1	16	ENSG00000090861	P49588
AARS1P1	NA	ENSG00000249038	NA
AARS2	57505	ENSG00000124608	Q5JTZ9
AARSD1	80755	ENSG00000266967	Q9BTE6
AARSD1P1	NA	ENSG00000234969	NA
AASDH	132949	ENSG00000157426	Q4L235
AASDHPPT	60496	ENSG00000149313	Q9NRN7
AASS	10157	ENSG00000008311	Q9UDR5
AATBC	284837	ENSG00000215458	NA
AATF	26574	ENSG00000275700	Q9NY61
AATF	26574	ENSG00000276072	Q9NY61
AATK	9625	ENSG00000181409	Q6ZMQ8
ABALON	103021294	ENSG00000281376	NA
ABAT	18	ENSG00000183044	P80404
ABCA1	19	ENSG00000165029	O95477
ABCA10	10349	ENSG00000154263	Q8WWZ4
ABCA11P	NA	ENSG00000251595	NA
ABCA12	26154	ENSG00000144452	Q86UK0
ABCA13	154664	ENSG00000179869	Q86UQ4
ABCA15P	NA	ENSG00000189149	NA
ABCA17P	650655	ENSG00000293423	NA
ABCA17P	NA	ENSG00000238098	NA
ABCA2	20	ENSG00000107331	Q9BZC7
ABCA3	21	ENSG00000167972	Q99758
ABCA3P1	NA	ENSG00000257408	NA
ABCA4	24	ENSG00000198691	P78363
ABCA5	23461	ENSG00000154265	Q8WWZ7
ABCA6	23460	ENSG00000154262	Q8N139
ABCA7	10347	ENSG00000064687	Q8IZY2
ABCA8	10351	ENSG00000141338	O94911
ABCA9	10350	ENSG00000154258	Q8IUA7
ABCA9-AS1	104355297	ENSG00000231749	NA
ABCB1	5243	ENSG00000085563	P08183
ABCB10	23456	ENSG00000135776	Q9NRK6
ABCB10P1	NA	ENSG00000274099	NA
ABCB10P1	NA	ENSG00000280461	NA
ABCB10P1	NA	ENSG00000281173	NA
ABCB10P3	NA	ENSG00000261524	NA
ABCB10P3	NA	ENSG00000282479	NA
ABCB10P4	NA	ENSG00000260053	NA
ABCB10P4	NA	ENSG00000274192	NA
ABCB10P4	NA	ENSG00000282004	NA
ABCB11	8647	ENSG00000073734	O95342
ABCB11	8647	ENSG00000276582	O95342
ABCB4	5244	ENSG00000005471	P21439
ABCB5	340273	ENSG00000004846	Q2M3G0
ABCB6	10058	ENSG00000115657	Q9NP58
ABCB7	22	ENSG00000131269	O75027
ABCB8	11194	ENSG00000197150	Q9NUT2
ABCB9	23457	ENSG00000150967	Q9NP78
ABCC1	4363	ENSG00000103222	P33527
ABCC1	4363	ENSG00000278183	P33527
ABCC10	89845	ENSG00000124574	Q5T3U5
ABCC11	85320	ENSG00000121270	Q96J66
ABCC12	94160	ENSG00000140798	Q96J65
ABCC13	NA	ENSG00000243064	NA
ABCC2	1244	ENSG00000023839	Q92887
ABCC3	8714	ENSG00000108846	O15438
ABCC4	10257	ENSG00000125257	O15439
ABCC5	10057	ENSG00000114770	O15440
ABCC5-AS1	100873982	ENSG00000223882	NA
ABCC6	368	ENSG00000091262	O95255
ABCC6	368	ENSG00000275331	O95255
ABCC6P1	653190	ENSG00000291057	NA
ABCC6P1	NA	ENSG00000256340	NA
ABCC6P2	730013	ENSG00000290494	NA
ABCC6P2	730013	ENSG00000290943	NA
ABCC6P2	NA	ENSG00000255277	NA
ABCC6P2	NA	ENSG00000273808	NA
ABCC8	6833	ENSG00000006071	Q09428
ABCC9	10060	ENSG00000069431	O60706
ABCD1	215	ENSG00000101986	P33897
ABCD1P2	NA	ENSG00000215151	NA
ABCD1P2	NA	ENSG00000288143	NA
ABCD1P3	NA	ENSG00000261233	NA
ABCD1P4	NA	ENSG00000225293	NA
ABCD1P4	NA	ENSG00000288394	NA
ABCD1P5	NA	ENSG00000214330	NA
ABCD2	225	ENSG00000173208	Q9UBJ2
ABCD3	5825	ENSG00000117528	P28288
ABCD4	5826	ENSG00000119688	O14678
ABCE1	6059	ENSG00000164163	P61221
ABCF1	23	ENSG00000204574	Q8NE71
ABCF1	23	ENSG00000206490	Q8NE71
ABCF1	23	ENSG00000225989	Q8NE71
ABCF1	23	ENSG00000231129	Q8NE71
ABCF1	23	ENSG00000232169	Q8NE71
ABCF1	23	ENSG00000236149	Q8NE71
ABCF1	23	ENSG00000236342	Q8NE71
ABCF2	10061	ENSG00000033050	Q9UG63
ABCF2-H2BK1	114483834	ENSG00000285292	NA
ABCF2P1	NA	ENSG00000242159	NA
ABCF2P2	NA	ENSG00000228769	NA
ABCF3	55324	ENSG00000161204	Q9NUQ8
ABCG1	9619	ENSG00000160179	P45844
ABCG2	9429	ENSG00000118777	Q9UNQ0
ABCG4	64137	ENSG00000172350	Q9H172
ABCG5	64240	ENSG00000138075	Q9H222
ABCG8	64241	ENSG00000143921	Q9H221
ABHD1	84696	ENSG00000143994	Q96SE0
ABHD10	55347	ENSG00000144827	Q9NUJ1
ABHD11	83451	ENSG00000106077	Q8NFV4
ABHD12	26090	ENSG00000100997	Q8N2K0
ABHD12B	145447	ENSG00000131969	Q7Z5M8
ABHD13	84945	ENSG00000139826	Q7L211
ABHD14A	25864	ENSG00000248487	Q9BUJ0
ABHD14A-ACY1	100526760	ENSG00000114786	NA
ABHD14B	84836	ENSG00000114779	Q96IU4
ABHD15	116236	ENSG00000168792	Q6UXT9
ABHD15-AS1	NA	ENSG00000264031	NA
ABHD16A	7920	ENSG00000204427	O95870
ABHD16A	7920	ENSG00000206403	O95870
ABHD16A	7920	ENSG00000224552	O95870
ABHD16A	7920	ENSG00000230475	O95870
ABHD16A	7920	ENSG00000231488	O95870
ABHD16A	7920	ENSG00000235676	O95870
ABHD16A	7920	ENSG00000236063	O95870
ABHD16B	140701	ENSG00000183260	Q9H3Z7
ABHD17A	81926	ENSG00000129968	Q96GS6
ABHD17AP1	NA	ENSG00000198658	NA
ABHD17AP3	NA	ENSG00000250536	NA
ABHD17AP4	NA	ENSG00000229107	NA
ABHD17AP5	NA	ENSG00000263366	NA
ABHD17AP6	NA	ENSG00000226981	NA
ABHD17AP7	NA	ENSG00000260864	NA
ABHD17AP8	NA	ENSG00000260540	NA
ABHD17AP9	NA	ENSG00000261536	NA
ABHD17B	51104	ENSG00000107362	Q5VST6
ABHD17C	58489	ENSG00000136379	Q6PCB6
ABHD18	80167	ENSG00000164074	Q0P651
ABHD2	11057	ENSG00000140526	P08910
ABHD3	171586	ENSG00000158201	Q8WU67
ABHD4	63874	ENSG00000100439	Q8TB40
ABHD5	51099	ENSG00000011198	Q8WTS1
ABHD6	57406	ENSG00000163686	Q9BV23
ABHD8	79575	ENSG00000127220	Q96I13
ABI1	10006	ENSG00000136754	Q8IZP0
ABI1P1	NA	ENSG00000271484	NA
ABI2	10152	ENSG00000138443	Q9NYB9
ABI3	51225	ENSG00000108798	Q9P2A4
ABI3BP	25890	ENSG00000154175	Q7Z7G0
ABITRAM	54942	ENSG00000119328	Q9NX38
ABITRAMP1	NA	ENSG00000251106	NA
ABL1	25	ENSG00000097007	P00519
ABL2	27	ENSG00000143322	P42684
ABLIM1	3983	ENSG00000099204	O14639
ABLIM2	84448	ENSG00000163995	Q6H8Q1
ABLIM3	22885	ENSG00000173210	O94929
ABO	28	ENSG00000175164	NA
ABO	28	ENSG00000281879	NA
ABR	29	ENSG00000159842	Q12979
ABR	29	ENSG00000276016	Q12979
ABR	29	ENSG00000278741	Q12979
ABR-AS1	NA	ENSG00000235361	NA
ABR-AS1	NA	ENSG00000281590	NA
ABRA	137735	ENSG00000174429	Q8N0Z2
ABRACL	58527	ENSG00000146386	Q9P1F3
ABRAXAS1	84142	ENSG00000163322	Q6UWZ7
ABRAXAS1P1	NA	ENSG00000213431	NA
ABRAXAS1P2	NA	ENSG00000253384	NA
ABRAXAS2	23172	ENSG00000165660	Q15018
ABT1	29777	ENSG00000146109	Q9ULW3
ABT1	29777	ENSG00000292169	Q9ULW3
ABT1P1	NA	ENSG00000250496	NA
ABTB1	80325	ENSG00000114626	Q969K4
ABTB2	25841	ENSG00000166016	Q8N961
ABTB3	121551	ENSG00000151136	A6QL63
ACAA1	30	ENSG00000060971	P09110
ACAA2	10449	ENSG00000167315	P42765
ACAA2P1	NA	ENSG00000233585	NA
ACACA	31	ENSG00000275176	Q13085
ACACA	31	ENSG00000278540	Q13085
ACACB	32	ENSG00000076555	O00763
ACAD10	80724	ENSG00000111271	Q6JQN1
ACAD11	84129	ENSG00000240303	Q709F0
ACAD8	27034	ENSG00000151498	Q9UKU7
ACAD9	28976	ENSG00000177646	Q9H845
ACAD9-DT	123706524	ENSG00000287110	NA
ACADL	33	ENSG00000115361	P28330
ACADM	34	ENSG00000117054	P11310
ACADS	35	ENSG00000122971	P16219
ACADSB	36	ENSG00000196177	P45954
ACADVL	37	ENSG00000072778	P49748
ACAN	176	ENSG00000157766	P16112
ACAP1	9744	ENSG00000072818	Q15027
ACAP1	9744	ENSG00000288169	Q15027
ACAP2	23527	ENSG00000114331	Q15057
ACAP2-IT1	NA	ENSG00000229325	NA
ACAP3	116983	ENSG00000131584	Q96P50
ACAT1	38	ENSG00000075239	P24752
ACAT2	39	ENSG00000120437	Q9BWD1
ACBD3	64746	ENSG00000182827	Q9H3P7
ACBD3-AS1	NA	ENSG00000234478	NA
ACBD4	79777	ENSG00000181513	Q8NC06
ACBD5	91452	ENSG00000107897	Q5T8D3
ACBD6	100527964	ENSG00000230124	Q9BR61
ACBD6	84320	ENSG00000230124	Q9BR61
ACBD7	414149	ENSG00000176244	Q8N6N7
ACCS	84680	ENSG00000110455	Q96QU6
ACCSL	390110	ENSG00000205126	Q4AC99
ACCSLP1	NA	ENSG00000230570	NA
ACD	65057	ENSG00000102977	Q96AP0
ACE	1636	ENSG00000159640	P12821
ACE2	59272	ENSG00000130234	Q9BYF1
ACE2-DT	104798195	ENSG00000225833	NA
ACE3P	NA	ENSG00000224353	NA
ACER1	125981	ENSG00000167769	Q8TDN7
ACER2	340485	ENSG00000177076	Q5QJU3
ACER2P1	NA	ENSG00000180105	NA
ACER2P1	NA	ENSG00000283169	NA
ACER3	55331	ENSG00000078124	Q9NUN7
ACER3-AS1	NA	ENSG00000254988	NA
ACHE	43	ENSG00000087085	P22303
ACIN1	22985	ENSG00000100813	Q9UKV3
ACKR1	2532	ENSG00000213088	Q16570
ACKR2	1238	ENSG00000144648	O00590
ACKR3	57007	ENSG00000144476	P25106
ACKR4	51554	ENSG00000129048	Q9NPB9
ACKR4P1	NA	ENSG00000225415	NA
ACLY	47	ENSG00000131473	P53396
ACMSD	130013	ENSG00000153086	Q8TDX5
ACNATP	NA	ENSG00000227411	NA
ACO1	48	ENSG00000122729	P21399
ACO2	50	ENSG00000100412	Q99798
ACO2P1	NA	ENSG00000235485	NA
ACO2P2	NA	ENSG00000235371	NA
