"Stratum"	"GeneID"
10	"A1BG"
1	"A1CF"
1	"A2M"
1	"A2ML1"
1	"A3GALT2"
1	"A4GALT"
1	"A4GNT"
2	"AAAS"
1	"AACS"
1	"AADAC"
1	"AADACL2"
1	"AADACL3"
1	"AADACL4"
1	"AADAT"
2	"AAGAB"
1	"AAK1"
1	"AAMDC"
1	"AAMP"
1	"AANAT"
1	"AAR2"
10	"AARD"
1	"AARS1"
1	"AARS2"
1	"AARSD1"
1	"AASDH"
1	"AASDHPPT"
1	"AASS"
1	"AATK"
1	"ABAT"
1	"ABCA1"
1	"ABCA10"
1	"ABCA12"
1	"ABCA13"
1	"ABCA2"
1	"ABCA3"
1	"ABCA4"
1	"ABCA5"
1	"ABCA6"
1	"ABCA7"
1	"ABCA8"
1	"ABCA9"
1	"ABCB1"
1	"ABCB10"
1	"ABCB11"
1	"ABCB4"
1	"ABCB5"
1	"ABCB6"
1	"ABCB7"
1	"ABCB8"
1	"ABCB9"
1	"ABCC1"
1	"ABCC10"
1	"ABCC11"
1	"ABCC12"
1	"ABCC3"
1	"ABCC4"
1	"ABCC5"
1	"ABCC6"
1	"ABCC8"
1	"ABCC9"
1	"ABCD1"
1	"ABCD2"
1	"ABCD3"
1	"ABCD4"
1	"ABCE1"
1	"ABCF1"
1	"ABCF2"
1	"ABCF2-H2BK1"
1	"ABCF3"
1	"ABCG1"
1	"ABCG2"
1	"ABCG4"
1	"ABCG5"
1	"ABCG8"
1	"ABHD1"
1	"ABHD10"
1	"ABHD11"
1	"ABHD12"
1	"ABHD12B"
1	"ABHD13"
1	"ABHD14A"
1	"ABHD14A-ACY1"
1	"ABHD14B"
1	"ABHD15"
1	"ABHD16A"
1	"ABHD16B"
1	"ABHD17A"
1	"ABHD17B"
1	"ABHD17C"
1	"ABHD18"
1	"ABHD2"
1	"ABHD3"
1	"ABHD4"
1	"ABHD5"
1	"ABHD6"
1	"ABHD8"
2	"ABI1"
1	"ABI2"
3	"ABI3"
1	"ABI3BP"
2	"ABITRAM"
1	"ABL1"
1	"ABL2"
1	"ABLIM1"
1	"ABLIM2"
1	"ABLIM3"
1	"ABR"
2	"ABRA"
1	"ABRACL"
1	"ABRAXAS1"
2	"ABRAXAS2"
1	"ABT1"
2	"ABTB1"
2	"ABTB2"
2	"ABTB3"
1	"ACAA1"
1	"ACAA2"
1	"ACACB"
1	"ACAD10"
1	"ACAD11"
1	"ACAD8"
1	"ACAD9"
1	"ACADL"
1	"ACADM"
1	"ACADS"
1	"ACADSB"
1	"ACADVL"
1	"ACAN"
1	"ACAP1"
1	"ACAP2"
1	"ACAP3"
1	"ACAT1"
1	"ACAT2"
1	"ACBD3"
1	"ACBD4"
1	"ACBD5"
1	"ACBD6"
1	"ACBD7"
1	"ACCS"
1	"ACCSL"
10	"ACD"
1	"ACE"
1	"ACE2"
1	"ACER1"
1	"ACER2"
1	"ACER3"
1	"ACHE"
2	"ACIN1"
15	"ACKR1"
1	"ACKR2"
1	"ACKR3"
1	"ACKR4"
1	"ACLY"
1	"ACMSD"
1	"ACO1"
1	"ACO2"
1	"ACOD1"
1	"ACOT1"
1	"ACOT11"
1	"ACOT12"
1	"ACOT13"
1	"ACOT2"
1	"ACOT4"
1	"ACOT6"
1	"ACOT7"
1	"ACOT8"
1	"ACOT9"
1	"ACOX1"
1	"ACOX2"
1	"ACOX3"
1	"ACOXL"
1	"ACP1"
1	"ACP2"
1	"ACP3"
1	"ACP4"
1	"ACP5"
1	"ACP6"
1	"ACP7"
1	"ACR"
10	"ACRBP"
18	"ACRV1"
1	"ACSBG1"
1	"ACSBG2"
1	"ACSF2"
1	"ACSF3"
1	"ACSL1"
1	"ACSL3"
1	"ACSL4"
1	"ACSL5"
1	"ACSL6"
1	"ACSM1"
1	"ACSM2A"
1	"ACSM2B"
1	"ACSM3"
1	"ACSM4"
1	"ACSM5"
1	"ACSM6"
1	"ACSS1"
1	"ACSS2"
1	"ACSS3"
1	"ACTA1"
1	"ACTA2"
1	"ACTB"
1	"ACTBL2"
1	"ACTC1"
1	"ACTG1"
1	"ACTG2"
1	"ACTL6A"
1	"ACTL6B"
1	"ACTL7A"
1	"ACTL7B"
1	"ACTL8"
1	"ACTL9"
2	"ACTMAP"
1	"ACTN1"
1	"ACTN2"
1	"ACTN3"
1	"ACTN4"
1	"ACTR10"
1	"ACTR1A"
1	"ACTR1B"
1	"ACTR2"
1	"ACTR3"
1	"ACTR3B"
1	"ACTR3C"
1	"ACTR5"
1	"ACTR6"
1	"ACTR8"
1	"ACTRT1"
1	"ACTRT2"
1	"ACTRT3"
1	"ACVR1"
1	"ACVR1B"
1	"ACVR1C"
1	"ACVR2A"
1	"ACVR2B"
1	"ACVRL1"
1	"ACY1"
1	"ACY3"
1	"ACYP1"
1	"ACYP2"
1	"ADA"
1	"ADA2"
2	"ADAD1"
2	"ADAD2"
1	"ADAM10"
1	"ADAM11"
1	"ADAM12"
1	"ADAM15"
1	"ADAM17"
1	"ADAM18"
1	"ADAM19"
1	"ADAM2"
1	"ADAM20"
1	"ADAM21"
1	"ADAM22"
1	"ADAM23"
1	"ADAM28"
1	"ADAM29"
1	"ADAM30"
1	"ADAM32"
1	"ADAM33"
1	"ADAM7"
1	"ADAM8"
1	"ADAM9"
1	"ADAMDEC1"
1	"ADAMTS1"
1	"ADAMTS10"
1	"ADAMTS12"
1	"ADAMTS13"
1	"ADAMTS14"
1	"ADAMTS15"
1	"ADAMTS16"
1	"ADAMTS17"
1	"ADAMTS18"
1	"ADAMTS19"
1	"ADAMTS2"
1	"ADAMTS20"
1	"ADAMTS3"
1	"ADAMTS4"
2	"ADAMTS5"
1	"ADAMTS6"
1	"ADAMTS7"
1	"ADAMTS8"
1	"ADAMTS9"
1	"ADAMTSL1"
1	"ADAMTSL2"
1	"ADAMTSL3"
1	"ADAMTSL4"
4	"ADAMTSL5"
1	"ADAP1"
1	"ADAP2"
1	"ADAR"
1	"ADARB1"
1	"ADARB2"
1	"ADAT1"
1	"ADAT2"
1	"ADAT3"
1	"ADCK1"
1	"ADCK2"
1	"ADCK5"
1	"ADCY1"
1	"ADCY10"
1	"ADCY2"
1	"ADCY3"
1	"ADCY4"
1	"ADCY5"
1	"ADCY6"
1	"ADCY7"
1	"ADCY8"
1	"ADCY9"
6	"ADCYAP1"
3	"ADCYAP1R1"
1	"ADD1"
1	"ADD2"
1	"ADD3"
1	"ADGB"
5	"ADGRA1"
3	"ADGRA2"
4	"ADGRA3"
1	"ADGRB1"
1	"ADGRB2"
1	"ADGRB3"
1	"ADGRD1"
2	"ADGRE1"
1	"ADGRE2"
2	"ADGRE3"
1	"ADGRE5"
3	"ADGRF1"
3	"ADGRF3"
3	"ADGRF4"
1	"ADGRF5"
3	"ADGRG1"
2	"ADGRG2"
3	"ADGRG3"
2	"ADGRG4"
1	"ADGRG5"
1	"ADGRG6"
2	"ADGRG7"
1	"ADGRL1"
1	"ADGRL2"
1	"ADGRL3"
2	"ADGRL4"
1	"ADGRV1"
1	"ADH1A"
1	"ADH1B"
1	"ADH1C"
1	"ADH4"
1	"ADH5"
1	"ADH6"
1	"ADH7"
1	"ADHFE1"
1	"ADI1"
15	"ADIG"
1	"ADIPOQ"
1	"ADIPOR1"
1	"ADIPOR2"
18	"ADIRF"
5	"ADISSP"
1	"ADK"
10	"ADM"
9	"ADM2"
18	"ADM5"
9	"ADNP"
9	"ADNP2"
1	"ADO"
5	"ADORA1"
4	"ADORA2A"
4	"ADORA2B"
5	"ADORA3"
1	"ADPGK"
1	"ADPRH"
1	"ADPRHL1"
1	"ADPRM"
1	"ADPRS"
1	"ADRA1A"
1	"ADRA1B"
1	"ADRA1D"
1	"ADRA2A"
1	"ADRA2C"
1	"ADRB1"
1	"ADRB2"
1	"ADRB3"
1	"ADRM1"
1	"ADSL"
1	"ADSS1"
1	"ADSS2"
2	"ADTRP"
1	"AEBP1"
1	"AEBP2"
1	"AEN"
5	"AFAP1"
5	"AFAP1L1"
5	"AFAP1L2"
2	"AFDN"
5	"AFF1"
1	"AFF2"
5	"AFF3"
1	"AFF4"
1	"AFG1L"
1	"AFG2A"
1	"AFG2B"
1	"AFG3L2"
1	"AFM"
1	"AFMID"
1	"AFP"
5	"AFTPH"
1	"AGA"
1	"AGAP1"
1	"AGAP2"
1	"AGAP3"
1	"AGAP4"
1	"AGAP5"
1	"AGAP6"
1	"AGAP9"
1	"AGBL1"
1	"AGBL2"
1	"AGBL3"
1	"AGBL4"
1	"AGBL5"
4	"AGER"
2	"AGFG1"
2	"AGFG2"
1	"AGGF1"
1	"AGK"
1	"AGL"
1	"AGMAT"
1	"AGMO"
1	"AGO1"
1	"AGO2"
1	"AGO3"
1	"AGO4"
1	"AGPAT1"
1	"AGPAT2"
1	"AGPAT3"
1	"AGPAT4"
1	"AGPAT5"
1	"AGPS"
1	"AGR2"
1	"AGR3"
1	"AGRN"
10	"AGRP"
1	"AGT"
1	"AGTPBP1"
1	"AGTR1"
1	"AGTR2"
3	"AGTRAP"
1	"AGXT"
1	"AGXT2"
2	"AHCTF1"
1	"AHCY"
1	"AHCYL1"
1	"AHCYL2"
10	"AHDC1"
1	"AHI1"
1	"AHNAK"
1	"AHNAK2"
4	"AHR"
4	"AHRR"
1	"AHSA1"
1	"AHSG"
1	"AHSP"
1	"AICDA"
2	"AIDA"
2	"AIF1"
2	"AIF1L"
1	"AIFM1"
1	"AIFM2"
1	"AIFM3"
2	"AIG1"
1	"AIM2"
1	"AIMP1"
3	"AIMP2"
1	"AIP"
1	"AIPL1"
1	"AIRE"
5	"AIRIM"
10	"AJAP1"
5	"AJM1"
1	"AJUBA"
1	"AK1"
1	"AK2"
1	"AK3"
1	"AK4"
1	"AK5"
1	"AK6"
1	"AK7"
1	"AK8"
1	"AK9"
10	"AKAIN1"
3	"AKAP1"
3	"AKAP10"
9	"AKAP11"
9	"AKAP12"
2	"AKAP13"
5	"AKAP14"
2	"AKAP17A"
11	"AKAP3"
10	"AKAP4"
14	"AKAP5"
6	"AKAP6"
1	"AKAP7"
9	"AKAP8"
9	"AKAP8L"
1	"AKAP9"
5	"AKIP1"
4	"AKIRIN1"
4	"AKIRIN2"
5	"AKNA"
9	"AKNAD1"
1	"AKR1A1"
1	"AKR1B1"
1	"AKR1B10"
1	"AKR1B15"
1	"AKR1C1"
1	"AKR1C2"
1	"AKR1C3"
1	"AKR1C4"
1	"AKR1D1"
1	"AKR1E2"
1	"AKR7A2"
1	"AKR7A3"
1	"AKR7L"
1	"AKT1"
6	"AKT1S1"
1	"AKT2"
1	"AKT3"
1	"AKTIP"
1	"ALAD"
1	"ALAS1"
1	"ALAS2"
1	"ALB"
4	"ALCAM"
1	"ALDH16A1"
1	"ALDH18A1"
1	"ALDH1A1"
1	"ALDH1A2"
1	"ALDH1A3"
1	"ALDH1B1"
1	"ALDH1L1"
1	"ALDH1L2"
1	"ALDH2"
1	"ALDH3A1"
1	"ALDH3A2"
1	"ALDH3B1"
1	"ALDH3B2"
1	"ALDH4A1"
1	"ALDH5A1"
1	"ALDH6A1"
1	"ALDH7A1"
1	"ALDH8A1"
1	"ALDH9A1"
1	"ALDOA"
1	"ALDOC"
1	"ALG1"
1	"ALG10"
1	"ALG10B"
1	"ALG11"
1	"ALG12"
1	"ALG13"
1	"ALG14"
1	"ALG2"
1	"ALG3"
1	"ALG5"
1	"ALG6"
1	"ALG8"
1	"ALG9"
1	"ALK"
9	"ALKAL1"
9	"ALKAL2"
1	"ALKBH1"
1	"ALKBH2"
1	"ALKBH3"
1	"ALKBH4"
2	"ALKBH5"
1	"ALKBH6"
1	"ALKBH7"
1	"ALKBH8"
1	"ALLC"
1	"ALMS1"
1	"ALOX12"
1	"ALOX15"
1	"ALOX15B"
1	"ALOX5"
1	"ALOX5AP"
1	"ALOXE3"
1	"ALPG"
1	"ALPI"
2	"ALPK1"
2	"ALPK2"
5	"ALPK3"
1	"ALPL"
1	"ALPP"
1	"ALS2"
2	"ALS2CL"
4	"ALX1"
1	"ALYREF"
1	"AMACR"
13	"AMBN"
1	"AMBP"
1	"AMBRA1"
1	"AMD1"
1	"AMDHD1"
1	"AMDHD2"
9	"AMELX"
9	"AMELY"
10	"AMER1"
10	"AMER2"
10	"AMER3"
1	"AMFR"
6	"AMH"
1	"AMHR2"
6	"AMIGO1"
6	"AMIGO2"
7	"AMIGO3"
1	"AMMECR1"
1	"AMMECR1L"
1	"AMN"
1	"AMN1"
5	"AMOT"
5	"AMOTL1"
6	"AMOTL2"
1	"AMPD1"
1	"AMPD2"
1	"AMPD3"
1	"AMPH"
1	"AMT"
12	"AMTN"
1	"AMY1A"
1	"AMY1B"
1	"AMY1C"
1	"AMY2A"
1	"AMY2B"
1	"AMZ1"
1	"AMZ2"
1	"ANAPC1"
1	"ANAPC10"
1	"ANAPC11"
5	"ANAPC13"
5	"ANAPC15"
8	"ANAPC16"
1	"ANAPC2"
2	"ANAPC4"
2	"ANAPC5"
2	"ANAPC7"
1	"ANG"
1	"ANGEL1"
1	"ANGEL2"
1	"ANGPT1"
1	"ANGPT2"
1	"ANGPT4"
1	"ANGPTL1"
1	"ANGPTL2"
1	"ANGPTL3"
1	"ANGPTL4"
1	"ANGPTL5"
1	"ANGPTL6"
1	"ANGPTL7"
11	"ANGPTL8"
5	"ANHX"
5	"ANK1"
5	"ANK2"
1	"ANK3"
1	"ANKAR"
1	"ANKDD1A"
6	"ANKDD1B"
1	"ANKEF1"
2	"ANKFN1"
1	"ANKFY1"
1	"ANKH"
1	"ANKHD1"
1	"ANKHD1-EIF4EBP3"
1	"ANKIB1"
1	"ANKK1"
4	"ANKLE1"
3	"ANKLE2"
1	"ANKMY1"
1	"ANKMY2"
1	"ANKRA2"
10	"ANKRD1"
3	"ANKRD10"
1	"ANKRD11"
1	"ANKRD12"
2	"ANKRD13A"
2	"ANKRD13B"
2	"ANKRD13C"
2	"ANKRD13D"
1	"ANKRD16"
1	"ANKRD17"
1	"ANKRD18A"
1	"ANKRD18B"
9	"ANKRD2"
1	"ANKRD22"
10	"ANKRD23"
5	"ANKRD24"
1	"ANKRD26"
2	"ANKRD27"
1	"ANKRD28"
5	"ANKRD29"
1	"ANKRD30A"
1	"ANKRD30B"
6	"ANKRD30BL"
1	"ANKRD31"
6	"ANKRD33"
1	"ANKRD33B"
6	"ANKRD34A"
7	"ANKRD34B"
6	"ANKRD34C"
1	"ANKRD35"
1	"ANKRD36"
1	"ANKRD36C"
2	"ANKRD37"
1	"ANKRD39"
1	"ANKRD40"
1	"ANKRD42"
1	"ANKRD44"
3	"ANKRD45"
1	"ANKRD46"
1	"ANKRD49"
1	"ANKRD50"
1	"ANKRD52"
1	"ANKRD53"
5	"ANKRD54"
1	"ANKRD55"
1	"ANKRD6"
5	"ANKRD60"
1	"ANKRD61"
1	"ANKRD62"
1	"ANKRD63"
18	"ANKRD65"
1	"ANKRD66"
5	"ANKRD7"
6	"ANKRD9"
3	"ANKS1A"
3	"ANKS1B"
1	"ANKS3"
5	"ANKS4B"
1	"ANKS6"
5	"ANKUB1"
1	"ANKZF1"
4	"ANLN"
1	"ANO1"
1	"ANO10"
1	"ANO2"
1	"ANO3"
1	"ANO4"
1	"ANO5"
1	"ANO6"
1	"ANO7"
1	"ANO8"
1	"ANO9"
5	"ANOS1"
1	"ANP32A"
1	"ANP32B"
1	"ANP32D"
1	"ANP32E"
1	"ANPEP"
1	"ANTKMT"
3	"ANTXR1"
1	"ANTXR2"
1	"ANXA1"
1	"ANXA10"
1	"ANXA11"
1	"ANXA13"
1	"ANXA2"
18	"ANXA2R"
1	"ANXA3"
1	"ANXA4"
1	"ANXA5"
1	"ANXA6"
1	"ANXA7"
1	"ANXA8"
1	"ANXA8L1"
1	"ANXA9"
6	"AOAH"
1	"AOC1"
1	"AOC2"
1	"AOC3"
1	"AOPEP"
1	"AOX1"
5	"AP1AR"
1	"AP1B1"
1	"AP1G1"
1	"AP1G2"
1	"AP1M1"
1	"AP1M2"
1	"AP1S1"
1	"AP1S2"
1	"AP1S3"
1	"AP2A1"
1	"AP2A2"
1	"AP2B1"
1	"AP2M1"
1	"AP2S1"
1	"AP3B1"
1	"AP3B2"
1	"AP3D1"
1	"AP3M1"
1	"AP3M2"
1	"AP3S1"
1	"AP3S2"
1	"AP4B1"
1	"AP4E1"
1	"AP4M1"
1	"AP4S1"
5	"AP5B1"
2	"AP5M1"
2	"AP5S1"
1	"APAF1"
1	"APBA1"
1	"APBA2"
1	"APBA3"
4	"APBB1"
3	"APBB1IP"
4	"APBB2"
4	"APBB3"
1	"APC"
1	"APC2"
1	"APCDD1"
1	"APCDD1L"
1	"APCS"
1	"APEH"
1	"APEX1"
1	"APEX2"
2	"APH1A"
2	"APH1B"
2	"API5"
1	"APIP"
4	"APLF"
1	"APLNR"
1	"APLP1"
1	"APLP2"
1	"APMAP"
1	"APOA1"
1	"APOA2"
1	"APOA4"
1	"APOA5"
1	"APOB"
1	"APOBEC1"
1	"APOBEC2"
1	"APOBEC3A"
1	"APOBEC3B"
1	"APOBEC3C"
1	"APOBEC3D"
1	"APOBEC3F"
1	"APOBEC3G"
1	"APOBEC3H"
9	"APOBEC4"
16	"APOBR"
17	"APOC1"
11	"APOC2"
1	"APOC3"
16	"APOC4"
11	"APOC4-APOC2"
1	"APOD"
1	"APOE"
11	"APOF"
1	"APOH"
1	"APOL1"
1	"APOL2"
1	"APOL3"
1	"APOL4"
1	"APOL5"
10	"APOL6"
10	"APOLD1"
10	"APOM"
6	"APOO"
6	"APOOL"
1	"APP"
3	"APPBP2"
2	"APPL1"
2	"APPL2"
1	"APRT"
1	"APTX"
1	"AQP1"
1	"AQP10"
2	"AQP11"
2	"AQP12A"
2	"AQP12B"
1	"AQP2"
1	"AQP3"
1	"AQP4"
1	"AQP5"
1	"AQP6"
1	"AQP7"
1	"AQP7B"
1	"AQP8"
1	"AQP9"
1	"AQR"
1	"AR"
1	"ARAF"
1	"ARAP1"
1	"ARAP2"
1	"ARAP3"
2	"ARB2A"
6	"ARC"
1	"ARCN1"
9	"AREG"
1	"AREL1"
1	"ARF1"
1	"ARF3"
1	"ARF4"
1	"ARF5"
1	"ARF6"
1	"ARFGAP1"
1	"ARFGAP2"
1	"ARFGAP3"
1	"ARFGEF1"
1	"ARFGEF2"
2	"ARFGEF3"
3	"ARFIP1"
3	"ARFIP2"
1	"ARFRP1"
1	"ARG1"
1	"ARG2"
4	"ARGFX"
5	"ARGLU1"
1	"ARHGAP1"
1	"ARHGAP10"
2	"ARHGAP11A"
2	"ARHGAP11B"
1	"ARHGAP12"
1	"ARHGAP15"
1	"ARHGAP17"
2	"ARHGAP18"
2	"ARHGAP19"
2	"ARHGAP19-SLIT1"
1	"ARHGAP20"
1	"ARHGAP21"
1	"ARHGAP22"
1	"ARHGAP24"
1	"ARHGAP25"
1	"ARHGAP26"
1	"ARHGAP27"
1	"ARHGAP28"
1	"ARHGAP29"
1	"ARHGAP30"
1	"ARHGAP31"
1	"ARHGAP32"
1	"ARHGAP33"
