hgnc_symbol	uniprot_id	uniprot_swissprot	uniprot_trembl	ensembl_gene_id	description
MT-ND1	P03886	P03886	U5Z754	ENSG00000198888	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:HGNC:7455]
MT-ND2	P03891	P03891	Q7GXY9	ENSG00000198763	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456]
MT-CO1	P00395	P00395	U5YWV7	ENSG00000198804	mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419]
MT-CO2	P00403	P00403	U5Z487	ENSG00000198712	mitochondrially encoded cytochrome c oxidase II [Source:HGNC Symbol;Acc:HGNC:7421]
MT-ATP8	P03928	P03928	U5YV54	ENSG00000228253	mitochondrially encoded ATP synthase membrane subunit 8 [Source:HGNC Symbol;Acc:HGNC:7415]
MT-ATP6	P00846	P00846	Q0ZFE3	ENSG00000198899	mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:HGNC:7414]
MT-CO3	P00414	P00414	Q7GIM7	ENSG00000198938	mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:HGNC:7422]
MT-ND3	P03897	P03897	Q7GXZ5	ENSG00000198840	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458]
MT-ND4L	P03901	P03901	Q7GXZ4	ENSG00000212907	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L [Source:HGNC Symbol;Acc:HGNC:7460]
MT-ND4	P03905	P03905	H9EC08	ENSG00000198886	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459]
MT-ND5	P03915	P03915	U5ZC31	ENSG00000198786	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461]
MT-ND6	P03923	P03923	U5Z977	ENSG00000198695	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]
MT-CYB	P00156	P00156	Q0ZFD6	ENSG00000198727	mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:HGNC:7427]
MAFIP	A0AAG2SV82		A0AAG2SV82	ENSG00000274847	MAFF interacting protein [Source:HGNC Symbol;Acc:HGNC:31102]
C8orf33	Q9H7E9	Q9H7E9		ENSG00000291362	chromosome 8 open reading frame 33 [Source:HGNC Symbol;Acc:HGNC:26104]
MUC5AC	P98088	P98088		ENSG00000291363	mucin 5AC, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7515]
MUC2	A0A3S8TMF2		A0A3S8TMF2	ENSG00000293532	mucin 2, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7512]
ZSWIM4	Q9H7M6	Q9H7M6		ENSG00000288360	zinc finger SWIM-type containing 4 [Source:HGNC Symbol;Acc:HGNC:25704]
NANOS3	P60323	P60323		ENSG00000288505	nanos C2HC-type zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:22048]
BRME1	K7EP60		K7EP60	ENSG00000288152	break repair meiotic recombinase recruitment factor 1 [Source:HGNC Symbol;Acc:HGNC:28153]
CC2D1A	Q6P1N0	Q6P1N0		ENSG00000288293	coiled-coil and C2 domain containing 1A [Source:HGNC Symbol;Acc:HGNC:30237]
PODNL1	K7ESB1		K7ESB1	ENSG00000288195	podocan like 1 [Source:HGNC Symbol;Acc:HGNC:26275]
DCAF15	Q66K64	Q66K64		ENSG00000288453	DDB1 and CUL4 associated factor 15 [Source:HGNC Symbol;Acc:HGNC:25095]
RFX1	P22670	P22670		ENSG00000288283	regulatory factor X1 [Source:HGNC Symbol;Acc:HGNC:9982]
RLN3	Q8WXF3	Q8WXF3		ENSG00000288474	relaxin 3 [Source:HGNC Symbol;Acc:HGNC:17135]
IL27RA	Q6UWB1	Q6UWB1		ENSG00000288185	interleukin 27 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:17290]
PALM3	A0A590UJ23		A0A590UJ23	ENSG00000288318	paralemmin 3 [Source:HGNC Symbol;Acc:HGNC:33274]
MISP3	A0A044PY82		A0A044PY82	ENSG00000288191	MISP family member 3 [Source:HGNC Symbol;Acc:HGNC:26963]
C19orf67	A6NJJ6	A6NJJ6		ENSG00000288239	chromosome 19 open reading frame 67 [Source:HGNC Symbol;Acc:HGNC:34354]
PRKACA	P17612	P17612		ENSG00000288516	protein kinase cAMP-activated catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9380]
ASF1B	Q9NVP2	Q9NVP2		ENSG00000288210	anti-silencing function 1B histone chaperone [Source:HGNC Symbol;Acc:HGNC:20996]
ADGRL1	O94910	O94910		ENSG00000288324	adhesion G protein-coupled receptor L1 [Source:HGNC Symbol;Acc:HGNC:20973]
SAMD1	Q6SPF0	Q6SPF0		ENSG00000288488	sterile alpha motif domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17958]
CNTNAP3C	A0AAG2UUX9		A0AAG2UUX9	ENSG00000291365	contactin associated protein family member 3C [Source:HGNC Symbol;Acc:HGNC:53878]
RYBP	Q8N488	Q8N488		ENSG00000281766	RING1 and YY1 binding protein [Source:HGNC Symbol;Acc:HGNC:10480]
SYT15B	X6R8R1	X6R8R1		ENSG00000288175	synaptotagmin 15B [Source:HGNC Symbol;Acc:HGNC:51487]
NPY4R2	P0DQD5	P0DQD5		ENSG00000288157	neuropeptide Y receptor Y4-2 [Source:HGNC Symbol;Acc:HGNC:52383]
FAM25C	B3EWG5	B3EWG5		ENSG00000288481	family with sequence similarity 25 member C [Source:HGNC Symbol;Acc:HGNC:23586]
HMX1	F1T0J4		F1T0J4	ENSG00000288204	H6 family homeobox 1 [Source:HGNC Symbol;Acc:HGNC:5017]
PPP2R3B	Q9Y5P8	Q9Y5P8		ENSG00000292327	protein phosphatase 2 regulatory subunit B''beta [Source:HGNC Symbol;Acc:HGNC:13417]
IL3RA	P26951	P26951		ENSG00000292332	interleukin 3 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6012]
P2RY8	Q86VZ1	Q86VZ1		ENSG00000292333	P2Y receptor family member 8 [Source:HGNC Symbol;Acc:HGNC:15524]
SLC25A6	P12236	P12236	Q6I9V5	ENSG00000292334	solute carrier family 25 member 6 [Source:HGNC Symbol;Acc:HGNC:10992]
DHRSX	Q8N5I4	Q8N5I4		ENSG00000292338	dehydrogenase/reductase X-linked [Source:HGNC Symbol;Acc:HGNC:18399]
ASMTL	O95671	O95671		ENSG00000292339	acetylserotonin O-methyltransferase like [Source:HGNC Symbol;Acc:HGNC:751]
PLCXD1	Q9NUJ7	Q9NUJ7		ENSG00000292344	phosphatidylinositol specific phospholipase C X domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23148]
ZBED1	O96006	O96006		ENSG00000292345	zinc finger BED-type containing 1 [Source:HGNC Symbol;Acc:HGNC:447]
CD99	P14209	P14209		ENSG00000292348	CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]
SHOX	O15266	O15266		ENSG00000292354	SHOX homeobox [Source:HGNC Symbol;Acc:HGNC:10853]
CRLF2	Q9HC73	Q9HC73	D0E2W4	ENSG00000292363	cytokine receptor like factor 2 [Source:HGNC Symbol;Acc:HGNC:14281]
AKAP17A	Q02040	Q02040		ENSG00000292343	A-kinase anchoring protein 17A [Source:HGNC Symbol;Acc:HGNC:18783]
ASMT	P46597	P46597		ENSG00000292336	acetylserotonin O-methyltransferase [Source:HGNC Symbol;Acc:HGNC:750]
CSF2RA	P15509	P15509		ENSG00000292357	colony stimulating factor 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2435]
FAM20C	Q8IXL6	Q8IXL6		ENSG00000288499	FAM20C golgi associated secretory pathway kinase [Source:HGNC Symbol;Acc:HGNC:22140]
GTPBP6	O43824	O43824		ENSG00000292358	GTP binding protein 6 (putative) [Source:HGNC Symbol;Acc:HGNC:30189]
VAMP7	P51809	P51809		ENSG00000292366	vesicle associated membrane protein 7 [Source:HGNC Symbol;Acc:HGNC:11486]
WASH6P	A0A7I2YQU6		A0A7I2YQU6	ENSG00000292372	WASP family homolog 6, pseudogene [Source:HGNC Symbol;Acc:HGNC:31685]
IL9R	Q01113	Q01113		ENSG00000292373	interleukin 9 receptor [Source:HGNC Symbol;Acc:HGNC:6030]
ACR	P10323	P10323		ENSG00000291368	acrosin [Source:HGNC Symbol;Acc:HGNC:126]
SHANK3	A0AAG2UY11		A0AAG2UY11	ENSG00000292254	SH3 and multiple ankyrin repeat domains 3 [Source:HGNC Symbol;Acc:HGNC:14294]
USP9Y	O00507	O00507		ENSG00000114374	ubiquitin specific peptidase 9 Y-linked [Source:HGNC Symbol;Acc:HGNC:12633]
EIF1AY	O14602	O14602		ENSG00000198692	eukaryotic translation initiation factor 1A Y-linked [Source:HGNC Symbol;Acc:HGNC:3252]
BPY2	R4GMN0		R4GMN0	ENSG00000183753	basic charge Y-linked 2 [Source:HGNC Symbol;Acc:HGNC:13508]
HSFY2	Q96LI6	Q96LI6		ENSG00000169953	heat shock transcription factor Y-linked 2 [Source:HGNC Symbol;Acc:HGNC:23950]
GCGR	I3L454		I3L454	ENSG00000288269	glucagon receptor [Source:HGNC Symbol;Acc:HGNC:4192]
MCRIP1	C9JLW8	C9JLW8		ENSG00000288213	MAPK regulated corepressor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:28007]
PPP1R27	Q86WC6	Q86WC6		ENSG00000288186	protein phosphatase 1 regulatory subunit 27 [Source:HGNC Symbol;Acc:HGNC:16813]
KDM5D	Q9BY66	Q9BY66	A0A384MR42	ENSG00000012817	lysine demethylase 5D [Source:HGNC Symbol;Acc:HGNC:11115]
HSFY1	Q96LI6	Q96LI6		ENSG00000172468	heat shock transcription factor Y-linked 1 [Source:HGNC Symbol;Acc:HGNC:18568]
TGIF2LY	Q8IUE0	Q8IUE0		ENSG00000176679	TGFB induced factor homeobox 2 like Y-linked [Source:HGNC Symbol;Acc:HGNC:18569]
CDY2A	Q9Y6F7	Q9Y6F7		ENSG00000182415	chromodomain Y-linked 2A [Source:HGNC Symbol;Acc:HGNC:1810]
BPY2C	O14599	O14599		ENSG00000185894	basic charge Y-linked 2C [Source:HGNC Symbol;Acc:HGNC:18225]
DAZ4	E7EU39		E7EU39	ENSG00000205916	deleted in azoospermia 4 [Source:HGNC Symbol;Acc:HGNC:15966]
CDY2B	Q9Y6F7	Q9Y6F7		ENSG00000129873	chromodomain Y-linked 2B [Source:HGNC Symbol;Acc:HGNC:23921]
SRY	Q05066	Q05066	A7WPU8	ENSG00000184895	sex determining region Y [Source:HGNC Symbol;Acc:HGNC:11311]
PRAMEF11	O60813	O60813		ENSG00000281934	PRAME family member 11 [Source:HGNC Symbol;Acc:HGNC:14086]
RPS4Y1	P22090	P22090		ENSG00000129824	ribosomal protein S4 Y-linked 1 [Source:HGNC Symbol;Acc:HGNC:10425]
HNRNPCL1	O60812	O60812		ENSG00000282175	heterogeneous nuclear ribonucleoprotein C like 1 [Source:HGNC Symbol;Acc:HGNC:29295]
PRAMEF2	O60811	O60811		ENSG00000282817	PRAME family member 2 [Source:HGNC Symbol;Acc:HGNC:28841]
PRAMEF4	O60810	O60810		ENSG00000282584	PRAME family member 4 [Source:HGNC Symbol;Acc:HGNC:31971]
PRAMEF10	O60809	O60809		ENSG00000282663	PRAME family member 10 [Source:HGNC Symbol;Acc:HGNC:27997]
ZFY	P08048	P08048		ENSG00000067646	zinc finger protein Y-linked [Source:HGNC Symbol;Acc:HGNC:12870]
PRAMEF7	Q5VXH5	Q5VXH5		ENSG00000279195	PRAME family member 7 [Source:HGNC Symbol;Acc:HGNC:28415]
PRAMEF6	Q5VXH4	Q5VXH4		ENSG00000282119	PRAME family member 6 [Source:HGNC Symbol;Acc:HGNC:30583]
PRAMEF27	A3QJZ7	A3QJZ7		ENSG00000282437	PRAME family member 27 [Source:HGNC Symbol;Acc:HGNC:51234]
HNRNPCL3	B7ZW38	B7ZW38		ENSG00000282559	heterogeneous nuclear ribonucleoprotein C like 3 [Source:HGNC Symbol;Acc:HGNC:51235]
PRAMEF25	A6NGN4	A6NGN4		ENSG00000282566	PRAME family member 25 [Source:HGNC Symbol;Acc:HGNC:49179]
HNRNPCL2	B2RXH8	B2RXH8		ENSG00000282530	heterogeneous nuclear ribonucleoprotein C like 2 [Source:HGNC Symbol;Acc:HGNC:48813]
DDX3Y	O15523	O15523		ENSG00000067048	DEAD-box helicase 3 Y-linked [Source:HGNC Symbol;Acc:HGNC:2699]
PRAMEF26	H0Y7S4	H0Y7S4		ENSG00000281987	PRAME family member 26 [Source:HGNC Symbol;Acc:HGNC:49178]
HNRNPCL4	P0DMR1	P0DMR1		ENSG00000282095	heterogeneous nuclear ribonucleoprotein C like 4 [Source:HGNC Symbol;Acc:HGNC:51333]
PRAMEF9	A0A096LNW4		A0A096LNW4	ENSG00000282298	PRAME family member 9 [Source:HGNC Symbol;Acc:HGNC:27996]
PRAMEF13	Q5VWM6	Q5VWM6		ENSG00000282741	PRAME family member 13 [Source:HGNC Symbol;Acc:HGNC:13262]
PRAMEF18	Q5VWM3	Q5VWM3		ENSG00000282212	PRAME family member 18 [Source:HGNC Symbol;Acc:HGNC:30693]
PRAMEF5	Q5TYX0	Q5TYX0		ENSG00000282424	PRAME family member 5 [Source:HGNC Symbol;Acc:HGNC:27995]
PRAMEF8	Q5VWM4	Q5VWM4		ENSG00000282583	PRAME family member 8 [Source:HGNC Symbol;Acc:HGNC:24074]
PRAMEF33	A0A0G2JMD5	A0A0G2JMD5		ENSG00000282125	PRAME family member 33 [Source:HGNC Symbol;Acc:HGNC:49193]
PRAMEF22	A0AAG2UYS2		A0AAG2UYS2	ENSG00000293551	PRAME family member 22 [Source:HGNC Symbol;Acc:HGNC:34393]
UTY	A0A804HJV1		A0A804HJV1	ENSG00000183878	ubiquitously transcribed tetratricopeptide repeat containing, Y-linked [Source:HGNC Symbol;Acc:HGNC:12638]
TMSB4Y	O14604	O14604		ENSG00000154620	thymosin beta 4 Y-linked [Source:HGNC Symbol;Acc:HGNC:11882]
VCY	O14598	O14598		ENSG00000129864	variable charge Y-linked [Source:HGNC Symbol;Acc:HGNC:12668]
ARHGEF19	Q8IW93	Q8IW93		ENSG00000291381	Rho guanine nucleotide exchange factor 19 [Source:HGNC Symbol;Acc:HGNC:26604]
DAZ3	Q9NR90	Q9NR90		ENSG00000187191	deleted in azoospermia 3 [Source:HGNC Symbol;Acc:HGNC:15965]
CPLANE2	Q9BU20	Q9BU20		ENSG00000291382	ciliogenesis and planar polarity effector complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:28127]
FBXO42	Q6P3S6	Q6P3S6		ENSG00000291375	F-box protein 42 [Source:HGNC Symbol;Acc:HGNC:29249]
SZRD1	Q7Z422	Q7Z422		ENSG00000291379	SUZ RNA binding domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30232]
SPATA21	H7C5T0		H7C5T0	ENSG00000291401	spermatogenesis associated 21 [Source:HGNC Symbol;Acc:HGNC:28026]
NECAP2	D6RB24		D6RB24	ENSG00000291380	NECAP endocytosis associated 2 [Source:HGNC Symbol;Acc:HGNC:25528]
DAZ1	Q9NQZ3	Q9NQZ3	A0A140VJH5	ENSG00000188120	deleted in azoospermia 1 [Source:HGNC Symbol;Acc:HGNC:2682]
AMELY	Q99218	Q99218		ENSG00000099721	amelogenin Y-linked [Source:HGNC Symbol;Acc:HGNC:462]
PADI2	Q9Y2J8	Q9Y2J8		ENSG00000291387	peptidyl arginine deiminase 2 [Source:HGNC Symbol;Acc:HGNC:18341]
TBL1Y	Q9BQ87	Q9BQ87		ENSG00000092377	transducin beta like 1 Y-linked [Source:HGNC Symbol;Acc:HGNC:18502]
NBPF1	A0AAG2UYR2		A0AAG2UYR2	ENSG00000292225	NBPF member 1 [Source:HGNC Symbol;Acc:HGNC:26088]
DAZ2	Q13117	Q13117		ENSG00000205944	deleted in azoospermia 2 [Source:HGNC Symbol;Acc:HGNC:15964]
NLGN4Y	B4DHI3		B4DHI3	ENSG00000165246	neuroligin 4 Y-linked [Source:HGNC Symbol;Acc:HGNC:15529]
VCY1B	O14598	O14598		ENSG00000129862	variable charge Y-linked 1B [Source:HGNC Symbol;Acc:HGNC:31751]
RPS4Y2	Q8TD47	Q8TD47		ENSG00000280969	ribosomal protein S4 Y-linked 2 [Source:HGNC Symbol;Acc:HGNC:18501]
PCDH11Y	Q9BZA8	Q9BZA8		ENSG00000099715	protocadherin 11 Y-linked [Source:HGNC Symbol;Acc:HGNC:15813]
CDY1B	Q9Y6F8	Q9Y6F8		ENSG00000172352	chromodomain Y-linked 1B [Source:HGNC Symbol;Acc:HGNC:23920]
BPY2B	R4GMN0		R4GMN0	ENSG00000183795	basic charge Y-linked 2B [Source:HGNC Symbol;Acc:HGNC:25449]
CDY1	Q9Y6F8	Q9Y6F8		ENSG00000172288	chromodomain Y-linked 1 [Source:HGNC Symbol;Acc:HGNC:1809]
RBMY1B	A6NDE4	A6NDE4		ENSG00000242875	RNA binding motif protein Y-linked family 1 member B [Source:HGNC Symbol;Acc:HGNC:23914]
RBMY1A1	P0DJD3	P0DJD3		ENSG00000234414	RNA binding motif protein Y-linked family 1 member A1 [Source:HGNC Symbol;Acc:HGNC:9912]
BCL2L14	Q9BZR8	Q9BZR8		ENSG00000281449	BCL2 like 14 [Source:HGNC Symbol;Acc:HGNC:16657]
TSPY4	A0A1W2PPS3		A0A1W2PPS3	ENSG00000233803	testis specific protein Y-linked 4 [Source:HGNC Symbol;Acc:HGNC:37287]
TSPY8	A6NDJ3		A6NDJ3	ENSG00000229549	testis specific protein Y-linked 8 [Source:HGNC Symbol;Acc:HGNC:37471]
TSPY3	P0CV98	P0CV98		ENSG00000228927	testis specific protein Y-linked 3 [Source:HGNC Symbol;Acc:HGNC:33876]
LRP6	O75581	O75581		ENSG00000281324	LDL receptor related protein 6 [Source:HGNC Symbol;Acc:HGNC:6698]
MANSC1	Q9H8J5	Q9H8J5		ENSG00000281818	MANSC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25505]
TSPY1	Q01534	Q01534		ENSG00000258992	testis specific protein Y-linked 1 [Source:HGNC Symbol;Acc:HGNC:12381]
TSPY9	A0A494C1R9	A0A494C1R9		ENSG00000238074	testis specific protein Y-linked 9 [Source:HGNC Symbol;Acc:HGNC:37472]
BORCS5	Q969J3	Q969J3		ENSG00000280689	BLOC-1 related complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:17950]
TSPY10	P0CW01	P0CW01		ENSG00000236424	testis specific protein Y-linked 10 [Source:HGNC Symbol;Acc:HGNC:37473]
DUSP16	Q9BY84	Q9BY84		ENSG00000280962	dual specificity phosphatase 16 [Source:HGNC Symbol;Acc:HGNC:17909]
TSPY2	C9JPU3		C9JPU3	ENSG00000168757	testis specific protein Y-linked 2 [Source:HGNC Symbol;Acc:HGNC:23924]
ACTG1	P63261	P63261		ENSG00000291420	actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]
